Time,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,E2,E3,E4,E5,E6,E7,E8,E9,E10,F2,F3,F4,F5,F6,F7,F8,F9,F10,G2,G3,G4,G5,G6,G7,G8,G9,G10
0:00:00,0.833,0.855,0.849,0.839,0.837,0.843,0.842,0.844,0.848,0.872,0.833,0.85,0.847,0.842,0.832,0.841,0.844,0.841,0.851,0.86,0.837,0.848,0.848,0.83,0.833,0.833,0.835,0.841,0.842,0.863,0.829,0.845,0.845,0.832,0.831,0.834,0.835,0.838,0.847,0.83,0.845,0.848,0.831,0.839,0.834,0.835,0.84,0.862,0.832,0.857,0.858,0.836,0.836,0.839,0.848,0.836,0.88
0:15:00,0.857,0.881,0.875,0.863,0.861,0.868,0.867,0.869,0.874,0.894,0.859,0.875,0.872,0.865,0.856,0.864,0.868,0.865,0.875,0.882,0.862,0.873,0.872,0.853,0.857,0.858,0.859,0.865,0.866,0.885,0.854,0.868,0.87,0.856,0.855,0.859,0.859,0.862,0.873,0.856,0.871,0.873,0.856,0.864,0.86,0.86,0.865,0.887,0.859,0.883,0.884,0.862,0.863,0.865,0.875,0.864,0.901
0:30:00,0.869,0.892,0.886,0.874,0.873,0.879,0.878,0.881,0.885,0.905,0.868,0.887,0.883,0.877,0.868,0.876,0.88,0.877,0.886,0.895,0.872,0.884,0.884,0.864,0.868,0.869,0.87,0.876,0.877,0.899,0.865,0.88,0.882,0.867,0.867,0.871,0.871,0.872,0.885,0.867,0.883,0.886,0.867,0.876,0.871,0.872,0.877,0.9,0.869,0.895,0.898,0.874,0.874,0.876,0.885,0.875,0.913
0:45:00,0.873,0.897,0.89,0.879,0.877,0.884,0.883,0.885,0.889,0.909,0.872,0.891,0.889,0.882,0.873,0.881,0.884,0.881,0.89,0.898,0.877,0.889,0.889,0.87,0.874,0.874,0.875,0.881,0.882,0.905,0.869,0.886,0.889,0.873,0.872,0.876,0.876,0.877,0.89,0.871,0.888,0.892,0.873,0.881,0.876,0.877,0.882,0.905,0.873,0.899,0.901,0.878,0.879,0.881,0.89,0.88,0.918
1:00:00,0.875,0.898,0.892,0.881,0.879,0.886,0.884,0.887,0.891,0.911,0.874,0.894,0.891,0.884,0.875,0.884,0.887,0.883,0.892,0.9,0.88,0.89,0.891,0.872,0.876,0.877,0.878,0.884,0.885,0.906,0.871,0.889,0.891,0.875,0.874,0.878,0.879,0.88,0.892,0.873,0.89,0.895,0.875,0.883,0.878,0.879,0.884,0.906,0.875,0.901,0.903,0.881,0.881,0.883,0.892,0.882,0.919
1:15:00,0.875,0.899,0.892,0.882,0.88,0.886,0.885,0.887,0.891,0.911,0.875,0.894,0.891,0.885,0.876,0.885,0.887,0.884,0.893,0.9,0.88,0.891,0.892,0.873,0.877,0.878,0.878,0.884,0.885,0.906,0.872,0.889,0.893,0.876,0.875,0.879,0.879,0.88,0.893,0.874,0.891,0.896,0.876,0.884,0.879,0.88,0.885,0.907,0.875,0.902,0.905,0.881,0.882,0.884,0.893,0.883,0.92
1:30:00,0.876,0.899,0.893,0.882,0.88,0.887,0.885,0.887,0.891,0.911,0.877,0.895,0.892,0.885,0.876,0.885,0.888,0.884,0.893,0.9,0.882,0.891,0.888,0.874,0.877,0.878,0.879,0.885,0.886,0.905,0.873,0.889,0.893,0.877,0.875,0.88,0.88,0.881,0.893,0.874,0.891,0.897,0.877,0.884,0.879,0.881,0.885,0.907,0.875,0.902,0.905,0.882,0.882,0.884,0.893,0.883,0.92
1:45:00,0.877,0.899,0.892,0.882,0.88,0.887,0.885,0.887,0.891,0.911,0.877,0.895,0.892,0.885,0.876,0.885,0.888,0.884,0.893,0.901,0.882,0.891,0.888,0.874,0.877,0.878,0.879,0.885,0.886,0.905,0.873,0.89,0.894,0.877,0.875,0.88,0.88,0.881,0.893,0.875,0.891,0.897,0.877,0.885,0.88,0.881,0.885,0.907,0.875,0.902,0.906,0.882,0.882,0.884,0.893,0.883,0.92
2:00:00,0.877,0.899,0.892,0.882,0.88,0.887,0.885,0.887,0.891,0.91,0.877,0.895,0.892,0.885,0.876,0.886,0.888,0.884,0.893,0.901,0.883,0.891,0.888,0.874,0.877,0.879,0.879,0.885,0.886,0.905,0.873,0.89,0.894,0.877,0.875,0.88,0.88,0.881,0.893,0.875,0.891,0.898,0.877,0.885,0.879,0.881,0.885,0.907,0.875,0.902,0.906,0.883,0.882,0.884,0.893,0.883,0.921
2:15:00,0.877,0.899,0.893,0.882,0.88,0.887,0.885,0.887,0.891,0.91,0.877,0.895,0.892,0.885,0.876,0.886,0.888,0.884,0.893,0.901,0.884,0.891,0.888,0.874,0.877,0.879,0.879,0.885,0.886,0.905,0.873,0.89,0.894,0.878,0.875,0.88,0.88,0.881,0.893,0.874,0.891,0.898,0.877,0.885,0.88,0.88,0.885,0.907,0.875,0.902,0.907,0.883,0.882,0.884,0.892,0.883,0.922
2:30:00,0.878,0.899,0.892,0.882,0.88,0.887,0.885,0.887,0.891,0.91,0.877,0.895,0.892,0.885,0.876,0.886,0.888,0.884,0.893,0.901,0.884,0.891,0.888,0.874,0.877,0.879,0.879,0.885,0.886,0.905,0.873,0.89,0.895,0.878,0.875,0.88,0.88,0.881,0.893,0.875,0.891,0.898,0.878,0.885,0.88,0.881,0.885,0.908,0.874,0.902,0.907,0.883,0.882,0.884,0.892,0.883,0.923
2:45:00,0.879,0.899,0.892,0.882,0.88,0.887,0.885,0.887,0.891,0.911,0.878,0.895,0.892,0.886,0.876,0.886,0.888,0.884,0.893,0.901,0.886,0.891,0.888,0.875,0.877,0.88,0.879,0.885,0.886,0.905,0.873,0.89,0.895,0.878,0.875,0.88,0.88,0.881,0.893,0.874,0.891,0.899,0.879,0.885,0.88,0.881,0.885,0.908,0.874,0.901,0.908,0.883,0.882,0.883,0.892,0.882,0.924
3:00:00,0.88,0.9,0.893,0.883,0.88,0.888,0.885,0.887,0.891,0.911,0.879,0.895,0.892,0.886,0.876,0.887,0.888,0.885,0.893,0.901,0.887,0.891,0.888,0.875,0.877,0.88,0.879,0.885,0.886,0.905,0.873,0.89,0.896,0.879,0.875,0.88,0.88,0.881,0.894,0.874,0.891,0.9,0.879,0.885,0.88,0.881,0.885,0.909,0.874,0.901,0.909,0.884,0.882,0.883,0.892,0.882,0.926
3:15:00,0.881,0.9,0.893,0.883,0.88,0.888,0.885,0.887,0.891,0.911,0.88,0.895,0.892,0.886,0.876,0.888,0.888,0.885,0.893,0.901,0.888,0.892,0.888,0.875,0.877,0.881,0.879,0.885,0.886,0.905,0.873,0.89,0.896,0.879,0.875,0.88,0.88,0.881,0.894,0.875,0.892,0.901,0.88,0.885,0.88,0.881,0.885,0.91,0.874,0.901,0.91,0.885,0.882,0.883,0.892,0.882,0.927
3:30:00,0.882,0.9,0.893,0.883,0.88,0.889,0.886,0.888,0.891,0.911,0.881,0.896,0.892,0.886,0.876,0.889,0.889,0.885,0.893,0.901,0.89,0.893,0.889,0.876,0.877,0.882,0.88,0.885,0.886,0.905,0.873,0.89,0.897,0.88,0.876,0.88,0.881,0.881,0.894,0.875,0.892,0.901,0.88,0.885,0.88,0.881,0.886,0.911,0.874,0.901,0.911,0.886,0.882,0.883,0.892,0.883,0.928
3:45:00,0.884,0.9,0.893,0.883,0.88,0.89,0.886,0.888,0.891,0.911,0.882,0.896,0.893,0.887,0.876,0.89,0.889,0.885,0.893,0.901,0.891,0.893,0.889,0.876,0.877,0.883,0.88,0.885,0.886,0.906,0.874,0.89,0.898,0.881,0.876,0.88,0.881,0.881,0.895,0.875,0.892,0.903,0.881,0.885,0.88,0.881,0.886,0.912,0.875,0.901,0.913,0.887,0.882,0.884,0.892,0.883,0.93
4:00:00,0.886,0.9,0.893,0.884,0.881,0.891,0.886,0.888,0.891,0.912,0.884,0.896,0.893,0.887,0.877,0.891,0.889,0.885,0.894,0.902,0.893,0.893,0.889,0.877,0.877,0.884,0.88,0.886,0.886,0.906,0.874,0.891,0.899,0.882,0.876,0.88,0.881,0.881,0.895,0.875,0.892,0.904,0.882,0.885,0.881,0.881,0.886,0.914,0.875,0.901,0.914,0.888,0.882,0.884,0.892,0.883,0.933
4:15:00,0.888,0.9,0.893,0.884,0.881,0.892,0.886,0.888,0.891,0.912,0.885,0.896,0.893,0.888,0.877,0.892,0.889,0.885,0.894,0.902,0.895,0.893,0.889,0.877,0.879,0.885,0.88,0.886,0.886,0.906,0.874,0.891,0.9,0.883,0.876,0.881,0.881,0.882,0.895,0.875,0.892,0.905,0.884,0.885,0.881,0.881,0.886,0.916,0.875,0.901,0.917,0.89,0.882,0.884,0.893,0.883,0.936
4:30:00,0.89,0.9,0.893,0.885,0.881,0.894,0.886,0.888,0.891,0.912,0.887,0.896,0.893,0.889,0.877,0.894,0.889,0.886,0.894,0.902,0.897,0.894,0.889,0.878,0.879,0.887,0.88,0.886,0.886,0.907,0.875,0.891,0.902,0.884,0.876,0.881,0.881,0.882,0.896,0.876,0.893,0.907,0.885,0.885,0.881,0.882,0.886,0.918,0.876,0.902,0.92,0.892,0.883,0.884,0.893,0.883,0.94
4:45:00,0.893,0.901,0.893,0.885,0.881,0.895,0.886,0.888,0.891,0.912,0.889,0.896,0.893,0.889,0.877,0.897,0.889,0.886,0.894,0.902,0.899,0.894,0.889,0.879,0.879,0.889,0.88,0.886,0.886,0.907,0.875,0.891,0.903,0.885,0.876,0.881,0.882,0.882,0.896,0.876,0.893,0.909,0.887,0.886,0.881,0.882,0.887,0.921,0.876,0.902,0.923,0.894,0.883,0.884,0.893,0.883,0.946
5:00:00,0.895,0.901,0.894,0.886,0.881,0.897,0.886,0.889,0.891,0.912,0.892,0.897,0.893,0.89,0.877,0.9,0.889,0.886,0.894,0.902,0.903,0.894,0.889,0.88,0.879,0.891,0.881,0.886,0.886,0.908,0.875,0.892,0.905,0.887,0.876,0.881,0.882,0.882,0.897,0.876,0.893,0.911,0.889,0.886,0.881,0.882,0.887,0.925,0.876,0.902,0.926,0.898,0.883,0.884,0.893,0.883,0.953
5:15:00,0.898,0.901,0.894,0.886,0.881,0.9,0.887,0.889,0.891,0.913,0.894,0.897,0.894,0.891,0.877,0.903,0.89,0.886,0.895,0.903,0.906,0.894,0.889,0.881,0.88,0.894,0.881,0.886,0.887,0.908,0.876,0.892,0.906,0.889,0.876,0.881,0.882,0.882,0.898,0.877,0.893,0.914,0.892,0.886,0.881,0.882,0.887,0.929,0.877,0.902,0.93,0.901,0.883,0.884,0.893,0.883,0.963
5:30:00,0.902,0.901,0.894,0.887,0.881,0.903,0.887,0.889,0.891,0.913,0.898,0.897,0.894,0.893,0.877,0.906,0.89,0.886,0.895,0.903,0.91,0.894,0.89,0.882,0.88,0.898,0.881,0.887,0.887,0.908,0.876,0.892,0.909,0.891,0.876,0.881,0.882,0.882,0.898,0.877,0.894,0.917,0.895,0.886,0.881,0.882,0.887,0.933,0.877,0.902,0.935,0.905,0.883,0.884,0.893,0.884,0.975
5:45:00,0.905,0.901,0.895,0.888,0.881,0.906,0.887,0.889,0.892,0.913,0.903,0.897,0.894,0.894,0.878,0.911,0.89,0.886,0.895,0.904,0.915,0.895,0.89,0.884,0.88,0.902,0.881,0.887,0.887,0.909,0.876,0.892,0.911,0.894,0.877,0.881,0.882,0.882,0.9,0.877,0.894,0.921,0.898,0.886,0.881,0.882,0.888,0.94,0.877,0.902,0.941,0.909,0.883,0.884,0.893,0.884,0.987
6:00:00,0.909,0.901,0.895,0.889,0.881,0.91,0.887,0.889,0.892,0.914,0.911,0.898,0.894,0.895,0.878,0.916,0.89,0.886,0.895,0.904,0.92,0.895,0.89,0.886,0.88,0.906,0.881,0.887,0.887,0.909,0.877,0.892,0.914,0.897,0.877,0.881,0.882,0.883,0.902,0.878,0.894,0.925,0.902,0.886,0.881,0.882,0.888,0.949,0.878,0.903,0.949,0.915,0.883,0.884,0.893,0.884,0.998
6:15:00,0.914,0.901,0.895,0.89,0.881,0.915,0.887,0.889,0.892,0.914,0.917,0.898,0.894,0.897,0.878,0.923,0.89,0.886,0.895,0.904,0.925,0.895,0.89,0.888,0.88,0.912,0.881,0.887,0.887,0.909,0.877,0.892,0.917,0.901,0.877,0.881,0.882,0.883,0.904,0.878,0.894,0.929,0.907,0.886,0.881,0.882,0.888,0.958,0.878,0.903,0.959,0.922,0.883,0.885,0.893,0.884,1.01
6:30:00,0.919,0.901,0.895,0.892,0.882,0.92,0.887,0.889,0.892,0.914,0.925,0.898,0.895,0.9,0.878,0.931,0.89,0.886,0.896,0.905,0.931,0.895,0.89,0.89,0.88,0.919,0.881,0.887,0.888,0.91,0.877,0.892,0.922,0.905,0.877,0.882,0.882,0.883,0.907,0.878,0.894,0.935,0.912,0.886,0.881,0.882,0.888,0.966,0.878,0.903,0.97,0.931,0.883,0.885,0.893,0.885,1.025
6:45:00,0.925,0.902,0.895,0.893,0.882,0.927,0.887,0.889,0.892,0.915,0.935,0.898,0.895,0.902,0.878,0.94,0.89,0.886,0.896,0.905,0.938,0.895,0.89,0.892,0.88,0.926,0.881,0.887,0.888,0.911,0.878,0.893,0.926,0.911,0.877,0.882,0.883,0.883,0.911,0.879,0.895,0.941,0.919,0.886,0.881,0.882,0.888,0.975,0.879,0.903,0.982,0.941,0.883,0.885,0.893,0.885,1.039
